Produto;Modalidade de acesso;Tipo;CapEx acesso;Velocidade;Tipo de velocidade;Prontidão do Acesso PtP;Tabela regional;12 meses;24 meses;36 meses;48 meses;60 meses
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;01. SP-Capital;R$ 220,74;R$ 210,03;R$ 199,99;R$ 180,94;R$ 171,41
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;02. MG-Capital;R$ 225,05;R$ 214,14;R$ 203,90;R$ 184,48;R$ 174,76
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;03. RJ-Capital;R$ 268,96;R$ 255,92;R$ 243,69;R$ 220,48;R$ 208,86
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;04. Nordeste-Capital (exceto MA);R$ 220,78;R$ 210,08;R$ 200,04;R$ 180,98;R$ 171,45
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;05. DF/GO/SC-Capital;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;06. PR/ES-Capital;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;07. AM/PA/MA/MS/MT/RO/TO/RS - Capital;R$ 220,78;R$ 210,08;R$ 200,04;R$ 180,98;R$ 171,45
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;08. SP/RJ-Interior;R$ 268,96;R$ 255,92;R$ 243,69;R$ 220,48;R$ 208,86
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;09. SC/ES-Interior;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;11. PR/MG/RS-Interior;R$ 238,32;R$ 226,77;R$ 215,93;R$ 195,36;R$ 185,07
IP Connect;GPON;Acesso+porta;Sem PMT;2;Simétrico;NA;12. AM/MA/PA/MT/RO-Interior e AC/AP/RR;R$ 220,78;R$ 210,08;R$ 200,04;R$ 180,98;R$ 171,45
