IBGE;Chave Sem Acento;Chave Com Acento;Perímetro;IBGE;UF;MUNICIPIOS;CONCAT;Tabela Regional
5300108;DF - BRASILIA;DF - Brasília;V.tal;5300108;DF;BRASILIA;DF - BRASILIA;05. DF/GO/SC-Capital
5222302;GO - VILA PROPICIO;GO - Vila Propício;Fora do perimetro;5222302;GO;VILA PROPICIO;GO - VILA PROPICIO;FORA DO PERIMETRO VTAL
5222203;GO - VILA BOA;GO - Vila Boa;V.tal;5222203;GO;VILA BOA;GO - VILA BOA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5222054;GO - VICENTINOPOLIS;GO - Vicentinópolis;Fora do perimetro;5222054;GO;VICENTINOPOLIS;GO - VICENTINOPOLIS;FORA DO PERIMETRO VTAL
5222005;GO - VIANOPOLIS;GO - Vianópolis;V.tal;5222005;GO;VIANOPOLIS;GO - VIANOPOLIS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221908;GO - VARJAO;GO - Varjão;Fora do perimetro;5221908;GO;VARJAO;GO - VARJAO;FORA DO PERIMETRO VTAL
5221858;GO - VALPARAISO DE GOIAS;GO - Valparaíso de Goiás;V.tal;5221858;GO;VALPARAISO DE GOIAS;GO - VALPARAISO DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221809;GO - URUTAI;GO - Urutaí;V.tal;5221809;GO;URUTAI;GO - URUTAI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221700;GO - URUANA;GO - Uruana;V.tal;5221700;GO;URUANA;GO - URUANA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221601;GO - URUACU;GO - Uruaçu;V.tal;5221601;GO;URUACU;GO - URUACU;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221577;GO - UIRAPURU;GO - Uirapuru;Fora do perimetro;5221577;GO;UIRAPURU;GO - UIRAPURU;FORA DO PERIMETRO VTAL
5221551;GO - TURVELANDIA;GO - Turvelândia;Fora do perimetro;5221551;GO;TURVELANDIA;GO - TURVELANDIA;FORA DO PERIMETRO VTAL
5221502;GO - TURVANIA;GO - Turvânia;V.tal;5221502;GO;TURVANIA;GO - TURVANIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221452;GO - TROMBAS;GO - Trombas;Fora do perimetro;5221452;GO;TROMBAS;GO - TROMBAS;FORA DO PERIMETRO VTAL
5221403;GO - TRINDADE;GO - Trindade;V.tal;5221403;GO;TRINDADE;GO - TRINDADE;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221304;GO - TRES RANCHOS;GO - Três Ranchos;Fora do perimetro;5221304;GO;TRES RANCHOS;GO - TRES RANCHOS;FORA DO PERIMETRO VTAL
5221197;GO - TEREZOPOLIS DE GOIAS;GO - Terezópolis de Goiás;V.tal;5221197;GO;TEREZOPOLIS DE GOIAS;GO - TEREZOPOLIS DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221080;GO - TERESINA DE GOIAS;GO - Teresina de Goiás;V.tal;5221080;GO;TERESINA DE GOIAS;GO - TERESINA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5221007;GO - TAQUARAL DE GOIAS;GO - Taquaral de Goiás;V.tal;5221007;GO;TAQUARAL DE GOIAS;GO - TAQUARAL DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5220702;GO - SITIO D ABADIA;#N/D;Fora do perimetro;5220702;GO;SITIO D ABADIA;GO - SITIO D ABADIA;FORA DO PERIMETRO VTAL
5220686;GO - SIMOLANDIA;GO - Simolândia;V.tal;5220686;GO;SIMOLANDIA;GO - SIMOLANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5220603;GO - SILVANIA;GO - Silvânia;V.tal;5220603;GO;SILVANIA;GO - SILVANIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5220504;GO - SERRANOPOLIS;GO - Serranópolis;Fora do perimetro;5220504;GO;SERRANOPOLIS;GO - SERRANOPOLIS;FORA DO PERIMETRO VTAL
5220454;GO - SENADOR CANEDO;GO - Senador Canedo;V.tal;5220454;GO;SENADOR CANEDO;GO - SENADOR CANEDO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
